Serial_Number,Power,Flow,Volume,ReturnTemperature,FlowTemperature,MWH,DateTime,Minute,Hour,Day,Month,Year
71438771,7.1,1393.0,3696.7,60.33,64.77,17.02,2020-02-12 15:42:09,45,15,12,2,2020
71438771,7.1,1393.0,3696.7,60.33,64.77,17.02,2020-02-12 15:42:09,45,15,12,2,2020
80092945,44.7,5886.0,21078.0,56.01,62.28,181.69,2020-02-12 17:13:27,15,17,12,2,2020
80074581,0.0,4765.0,18981.1,62.57,62.6,1.1,2020-02-12 17:35:40,45,17,12,2,2020
71477357,25.7,2192.0,6810.1,51.43,61.91,37.8,2020-02-12 17:37:13,45,17,12,2,2020
71477358,11.9,2285.0,5684.6,58.68,63.15,54.48,2020-02-12 17:40:19,45,17,12,2,2020
71438771,5.7,1213.0,3699.2,58.02,62.17,17.03,2020-02-12 17:42:09,45,17,12,2,2020
80092948,11.2,4680.0,64436.7,59.63,61.75,121.87,2020-02-12 17:48:48,60,17,12,2,2020
80074580,12.5,1983.0,14247.7,59.18,64.65,60.69,2020-02-12 17:54:22,60,17,12,2,2020
71477358,12.1,1444.0,5685.0,57.35,64.19,54.49,2020-02-12 17:55:19,60,17,12,2,2020
80092945,46.9,5772.0,21082.1,54.51,62.44,181.72,2020-02-12 17:58:27,60,17,12,2,2020
71438771,4.7,1219.0,3699.8,58.84,62.22,17.04,2020-02-12 18:12:09,15,18,12,2,2020
80092948,29.0,4862.0,64439.1,56.76,61.8,121.88,2020-02-12 18:18:48,30,18,12,2,2020
80074581,0.1,4845.0,18984.8,62.66,62.69,1.1,2020-02-12 18:20:40,30,18,12,2,2020
71477357,7.0,1356.0,6811.1,57.24,61.82,37.8,2020-02-12 18:22:13,30,18,12,2,2020
80074580,14.2,2139.0,14248.8,56.94,62.93,60.7,2020-02-12 18:24:22,30,18,12,2,2020
71477358,9.4,1352.0,5685.7,56.33,62.46,54.5,2020-02-12 18:25:19,30,18,12,2,2020
80092945,53.7,6404.0,21085.2,54.05,61.16,181.75,2020-02-12 18:28:27,30,18,12,2,2020
71438771,4.3,1175.0,3700.4,57.09,60.48,17.04,2020-02-12 18:42:09,45,18,12,2,2020
80074581,0.7,4683.0,18987.1,60.09,60.24,1.1,2020-02-12 18:50:40,60,18,12,2,2020
71477357,4.0,1383.0,6811.8,56.72,59.33,37.81,2020-02-12 18:52:13,60,18,12,2,2020
71438771,4.7,1220.0,3700.7,56.19,59.58,17.04,2020-02-12 18:57:09,60,18,12,2,2020
80092948,30.5,5506.0,64442.9,54.37,59.18,121.91,2020-02-12 19:03:47,15,19,12,2,2020
80074580,25.2,2195.0,14250.4,56.43,66.35,60.71,2020-02-12 19:09:21,15,19,12,2,2020
80092945,67.0,6393.0,21089.8,55.02,64.15,181.79,2020-02-12 19:13:27,15,19,12,2,2020
80074581,0.7,4652.0,18989.3,65.26,65.38,1.1,2020-02-12 19:20:40,30,19,12,2,2020
71477357,5.9,1307.0,6812.5,60.22,64.27,37.81,2020-02-12 19:22:13,30,19,12,2,2020
71438771,5.4,1166.0,3701.3,60.15,64.23,17.04,2020-02-12 19:27:09,30,19,12,2,2020
71477357,33.6,2099.0,6812.9,51.15,64.27,37.81,2020-02-12 19:37:13,45,19,12,2,2020
80074580,17.3,2232.0,14251.5,57.6,64.37,60.72,2020-02-12 19:39:22,45,19,12,2,2020
71477358,8.0,1366.0,5687.3,59.45,64.47,54.51,2020-02-12 19:40:18,45,19,12,2,2020
80092945,45.4,6409.0,21092.8,55.52,62.53,181.81,2020-02-12 19:43:27,45,19,12,2,2020
80074581,1.0,4502.0,18991.6,63.58,63.82,1.1,2020-02-12 19:50:40,60,19,12,2,2020
80074581,0.7,4467.0,18992.7,65.17,65.34,1.1,2020-02-12 20:05:40,15,20,12,2,2020
71477357,10.5,2097.0,6813.9,60.16,64.42,37.82,2020-02-12 20:07:13,15,20,12,2,2020
80074580,18.8,2251.0,14252.6,57.47,64.78,60.73,2020-02-12 20:09:22,15,20,12,2,2020
71477358,15.0,1271.0,5688.2,51.7,65.29,54.52,2020-02-12 20:10:18,15,20,12,2,2020
80092945,55.1,6133.0,21096.1,54.47,62.97,181.84,2020-02-12 20:13:27,15,20,12,2,2020
71438771,3.7,685.0,3702.1,58.88,63.57,17.05,2020-02-12 20:27:09,30,20,12,2,2020
80092945,52.3,5659.0,21097.6,55.22,63.02,181.86,2020-02-12 20:28:27,30,20,12,2,2020
80074581,0.4,4814.0,18994.9,65.31,65.39,1.1,2020-02-12 20:35:40,45,20,12,2,2020
71477357,6.6,1545.0,6814.8,60.44,64.23,37.82,2020-02-12 20:37:13,45,20,12,2,2020
71477358,8.8,1484.0,5689.0,60.15,65.27,54.53,2020-02-12 20:40:18,45,20,12,2,2020
71438771,2.9,678.0,3702.3,59.94,63.66,17.05,2020-02-12 20:42:09,45,20,12,2,2020
